Case Number,Date of Crash,Crash Severity,Longitude,Latitude
20251461611,20250101,Property Damage Only,-95.4136244422,42.0370011053
20251461636,20250101,Property Damage Only,-91.7485844123,42.1508233264
20251461656,20250101,Property Damage Only,-95.501368509,42.3547358086
20251461658,20250101,Property Damage Only,-94.35742386,41.6779010799
20251461660,20250101,Property Damage Only,-92.5849180206,42.9848140341
20251461661,20250101,Property Damage Only,-93.6716409769,41.7385110138
20251461683,20250101,Property Damage Only,-91.1740466226,43.0257762564
20251461716,20250102,Property Damage Only,-91.6779210381,43.2409777475
20251461717,20250102,Property Damage Only,-91.9048763288,43.206204738
20251461745,20250101,Property Damage Only,-93.3699829161,42.722644102
20251461749,20250101,Property Damage Only,-93.7314741721,41.2952278844
20251461808,20250101,Property Damage Only,-91.758718528,42.0166672563
20251461863,20250102,Property Damage Only,-91.5783169584,42.0171861719
20251461879,20250101,Property Damage Only,-91.7021229558,42.0178604911
20251461894,20250102,Property Damage Only,-92.6451829553,43.0672597183
20251461903,20250101,Property Damage Only,-91.5599129876,41.9785355441
20251462020,20250102,Property Damage Only,-93.1165210407,41.6812831387
20251462068,20250103,Property Damage Only,-94.1781763426,42.5387464083
20251462076,20250101,Property Damage Only,-90.8003710224,42.4784634102
20251462077,20250101,Property Damage Only,-90.8205680024,42.4780479486
20251462079,20250102,Property Damage Only,-90.7611397476,42.3940796947
20251462143,20250103,Property Damage Only,-92.3771542362,42.4876348971
20251462152,20250103,Property Damage Only,-91.4520300999,43.1476295995
20251462157,20250103,Property Damage Only,-90.5875723608,41.560055218
20251462161,20250105,Property Damage Only,-92.3797983718,42.6495992029
20251462165,20250103,Property Damage Only,-92.7686846206,42.4415065561
20251462203,20250103,Property Damage Only,-90.668794607,42.5258043657
20251462204,20250103,Property Damage Only,-94.7765137572,40.6191193691
20251462259,20250104,Property Damage Only,-91.1051143814,41.4173392645
20251462273,20250104,Property Damage Only,-93.6661372889,41.6946607402
20251462277,20250104,Property Damage Only,-91.3687757767,41.9106190662
