Case Number,Date of Crash,Crash Severity,Longitude,Latitude
20261522214,20260101,Property Damage Only,-95.98784234,42.17115744
20261522232,20260101,Property Damage Only,-91.23206399,43.01633199
20261522234,20260101,Property Damage Only,-91.49999144,41.92111775
20261522235,20260101,Property Damage Only,-91.7514839,42.02161436
20261522250,20260101,Property Damage Only,-90.74402282,42.45639427
20261522251,20260101,Property Damage Only,-91.36781805,40.67785759
20261522261,20260101,Property Damage Only,-93.40594391,41.93220734
20261522263,20260102,Property Damage Only,-91.44298539,40.50072854
20261522287,20260101,Property Damage Only,-93.210663,43.24648798
20261522296,20260101,Property Damage Only,-91.60583679,40.98019116
20261522332,20260102,Property Damage Only,-94.28437253,42.03458417
20261522343,20260103,Property Damage Only,-93.20435298,42.52203455
20261522350,20260102,Property Damage Only,-91.21667284,43.01769598
20261522369,20260102,Property Damage Only,-93.64237795,41.70301046
20261522375,20260102,Property Damage Only,-93.44730851,42.00528702
20261522378,20260101,Property Damage Only,-95.06859163,43.12782833
20261522381,20260103,Property Damage Only,-91.56217269,40.88404449
20261522391,20260103,Property Damage Only,-92.40099263,41.96453412
20261522408,20260103,Property Damage Only,-95.75110686,41.94856016
20261522410,20260102,Property Damage Only,-91.20634976,43.02536875
20261522411,20260102,Property Damage Only,-91.07317159,40.88826874
20261522415,20260103,Property Damage Only,-93.41003674,41.72900595
20261522429,20260104,Property Damage Only,-91.70476607,42.10595425
20261522436,20260102,Possible/Unknown Injury Crash,-91.62651146,42.03266958
20261522441,20260104,Property Damage Only,-92.16053636,42.96527059
20261522450,20260103,Property Damage Only,-93.50317249,41.68268169
20261522457,20260104,Property Damage Only,-91.76508182,42.06603684
20261522472,20260103,Property Damage Only,-91.49185536,40.42262374
20261522473,20260103,Property Damage Only,-91.42349894,40.63975187
20261522479,20260103,Property Damage Only,-91.66306382,40.83547955
20261522485,20260103,Property Damage Only,-90.54629512,41.55698375
20261522487,20260104,Property Damage Only,-93.1855964,41.32509208
20261522495,20260104,Property Damage Only,-92.09378048,41.48795194
20261522496,20260104,Property Damage Only,-95.43586131,42.33230086
20261522500,20260104,Possible/Unknown Injury Crash,-95.31275714,42.92235936
20261522502,20260104,Property Damage Only,-90.62859688,41.78567868
20261522505,20260104,Property Damage Only,-92.59104804,41.75322977
20261522512,20260104,Property Damage Only,-92.25714313,43.05919429
20261522516,20260104,Property Damage Only,-94.43869543,42.03464458
20261522523,20260104,Property Damage Only,-91.33859402,41.27876107
20261522525,20260103,Property Damage Only,-90.68824666,41.47804857
20261522529,20260102,Property Damage Only,-92.90015807,41.21904137
20261522552,20260103,Property Damage Only,-93.48663088,41.91381717
20261522553,20260104,Property Damage Only,-91.29064739,40.67048893
20261522563,20260102,Property Damage Only,-90.72009029,42.53874178
20261522572,20260104,Property Damage Only,-95.12460636,41.31778015
20261522573,20260102,Property Damage Only,-91.27878886,42.07783
20261522574,20260103,Property Damage Only,-92.40911202,40.86896404
20261522587,20260102,Property Damage Only,-91.92152021,43.17888958
20261522591,20260103,Property Damage Only,-90.56562212,41.69830712
20261522592,20260102,Property Damage Only,-92.2400345,41.91746729
20261522593,20260104,Property Damage Only,-91.8654648,42.22932091
20261522620,20260103,Property Damage Only,-94.91899338,41.69565346
20261522621,20260104,Property Damage Only,-94.89889756,41.64527119
20261522628,20260105,Property Damage Only,-92.43083772,41.83136761
20261522651,20260103,Property Damage Only,-94.1590429,41.83465756
20261522662,20260105,Property Damage Only,-93.90484266,40.60906064
20261522673,20260102,Property Damage Only,-94.04434115,41.68845947
20261522674,20260102,Property Damage Only,-94.0840456,41.0273218
20261522690,20260105,Property Damage Only,-91.59942156,42.06206299
20261522694,20260105,Property Damage Only,-90.75416895,42.48417686
20261522700,20260102,Property Damage Only,-91.46531815,41.26387491
20261522702,20260104,Property Damage Only,-95.67093647,40.84889458
20261522705,20260104,Property Damage Only,-91.8868719,42.44916832
20261522732,20260105,Property Damage Only,-95.75998877,41.03812905
20261522740,20260105,Property Damage Only,-95.51592766,42.73455637
20261522777,20260104,Property Damage Only,-93.63117204,42.0345413
20261522779,20260106,Property Damage Only,-91.48287574,42.75782303
20261522780,20260105,Property Damage Only,-92.70457853,41.28521952
20261522809,20260106,Property Damage Only,-92.71165815,43.1343621
20261522818,20260105,Property Damage Only,-90.29770689,41.77861963
20261522825,20260106,Property Damage Only,-91.50029325,42.19891051
20261522827,20260106,Property Damage Only,-95.51525303,42.37894425
20261522830,20260105,Property Damage Only,-91.72447906,43.26926744
20261522886,20260106,Property Damage Only,-96.27270727,42.78491157
20261522900,20260106,Property Damage Only,-90.54339095,41.71124396
20261522903,20260106,Property Damage Only,-95.12371654,40.99873623
20261522909,20260106,Property Damage Only,-91.41522023,40.91546577
20261522910,20260106,Property Damage Only,-91.03817462,41.57904194
20261522911,20260106,Property Damage Only,-95.00265323,42.39477691
20261522927,20260105,Property Damage Only,-91.17209772,42.82350476
20261522942,20260106,Property Damage Only,-91.73575356,42.05534216
20261522962,20260106,Property Damage Only,-93.68783669,42.07074614
20261522969,20260107,Property Damage Only,-90.71520902,42.43075244
20261522978,20260106,Property Damage Only,-93.77449405,41.60513532
20261522981,20260104,Property Damage Only,-91.27685258,42.10470216
20261522983,20260106,Property Damage Only,-93.81358539,42.50128115
20261522987,20260101,Property Damage Only,-92.79808718,41.93480995
20261522988,20260102,Property Damage Only,-93.23169,41.86341071
20261522990,20260105,Property Damage Only,-92.04931784,41.04411897
20261522999,20260106,Property Damage Only,-91.724275,42.96432813
20261523002,20260105,Property Damage Only,-92.54576743,42.88458187
20261523003,20260106,Property Damage Only,-92.51017598,42.85118766
20261523004,20260104,Property Damage Only,-92.46074289,42.53784287
20261523039,20260106,Property Damage Only,-96.00013682,43.25687411
20261523041,20260106,Property Damage Only,-96.37761557,43.12785087
20261523051,20260105,Property Damage Only,-91.96892827,43.12624366
20261523120,20260107,Property Damage Only,-91.92039899,40.67459189
20261523129,20260104,Property Damage Only,-90.64888898,41.49438985
20261523138,20260107,Property Damage Only,-90.49102704,42.05379516
20261523139,20260107,Property Damage Only,-91.0971686,41.47757241
20261523143,20260106,Property Damage Only,-93.59750007,41.79129607
20261523166,20260108,Property Damage Only,-93.77194682,41.61494326
20261523183,20260108,Property Damage Only,-92.58146901,42.03273963
20261523190,20260106,Property Damage Only,-96.1137243,42.80778116
20261523191,20260107,Property Damage Only,-93.06453121,41.71622676
20261523196,20260105,Property Damage Only,-94.92259751,41.70167262
20261523197,20260106,Property Damage Only,-91.86184205,43.31330822
20261523201,20260107,Property Damage Only,-91.52768494,40.47576809
20261523204,20260108,Property Damage Only,-92.39627256,42.06302351
20261523205,20260107,Property Damage Only,-93.85686109,42.03461841
20261523207,20260104,Property Damage Only,-92.37715101,41.03244859
20261523208,20260104,Property Damage Only,-92.51944189,41.09769972
20261523213,20260107,Property Damage Only,-91.44604158,40.68038748
20261523214,20260107,Property Damage Only,-91.32663383,40.74153177
20261523223,20260108,Property Damage Only,-93.5203848,41.02908327
20261523226,20260108,Property Damage Only,-92.55437354,43.31871546
20261523320,20260108,Possible/Unknown Injury Crash,-91.98380666,42.56463982
20261523345,20260108,Property Damage Only,-92.4549701,41.66234185
20261523363,20260108,Property Damage Only,-94.98988508,40.99017206
20261523365,20260108,Property Damage Only,-94.66201888,41.85669717
20261523380,20260109,Property Damage Only,-91.30056983,40.63288217
20261523387,20260107,Property Damage Only,-93.02397001,41.58451182
20261523388,20260108,Property Damage Only,-92.88318831,41.70247667
20261523406,20260107,Property Damage Only,-92.38620057,42.68582708
20261523410,20260107,Property Damage Only,-92.39950544,42.71500345
20261523417,20260102,Property Damage Only,-91.452336,41.29040794
20261523418,20260107,Property Damage Only,-91.18076702,41.1040283
20261523440,20260106,Property Damage Only,-93.89190031,41.52168816
20261523441,20260104,Property Damage Only,-92.84943548,42.35423747
20261523465,20260107,Property Damage Only,-96.34097036,42.40754363
20261523473,20260109,Property Damage Only,-93.71085589,41.75701863
20261523488,20260109,Property Damage Only,-93.65512089,41.30029968
20261523489,20260109,Property Damage Only,-91.73307528,42.04234346
20261523491,20260109,Property Damage Only,-93.10796469,41.28335004
20261523509,20260106,Property Damage Only,-91.52930918,41.22051966
20261523524,20260109,Property Damage Only,-91.15104183,40.83599262
20261523528,20260109,Property Damage Only,-92.29533579,41.33661415
20261523530,20260107,Property Damage Only,-91.80567005,43.34805988
20261523531,20260109,Property Damage Only,-93.5224651,41.68518965
20261523542,20260110,Property Damage Only,-95.32652313,42.01515133
20261523547,20260110,Property Damage Only,-94.14013723,42.4465343
20261523582,20260110,Property Damage Only,-93.38526674,41.64425344
20261523593,20260109,Property Damage Only,-93.97042364,42.11080034
20261523596,20260110,Property Damage Only,-93.44590245,43.06748136
20261523605,20260107,Property Damage Only,-90.48374325,41.54455336
20261523636,20260109,Property Damage Only,-93.44508084,41.61662844
20261523651,20260107,Property Damage Only,-95.77580447,41.59005576
20261523664,20260111,Property Damage Only,-91.20319355,42.83325424
20261523682,20260111,Property Damage Only,-90.6763993,42.14861307
20261523687,20260109,Property Damage Only,-96.10719219,42.5758319
20261523698,20260112,Property Damage Only,-93.56574553,41.73182154
20261523703,20260108,Property Damage Only,-91.2685577,42.10419901
20261523709,20260109,Property Damage Only,-90.61224129,42.40912027
20261523716,20260111,Property Damage Only,-90.95737412,42.07399848
20261523720,20260111,Property Damage Only,-95.13651416,43.42218091
20261523743,20260108,Property Damage Only,-93.15983428,41.69557946
20261523756,20260105,Property Damage Only,-91.95398476,42.13914546
20261523757,20260106,Property Damage Only,-91.92112749,42.13791354
20261523764,20260110,Property Damage Only,-91.89247711,42.13837905
20261523770,20260110,Property Damage Only,-91.30391854,42.47085044
20261523777,20260106,Property Damage Only,-91.80503184,42.8252514
20261523778,20260111,Property Damage Only,-91.80513996,42.81201485
20261523781,20260110,Property Damage Only,-96.09733487,42.88506
20261523791,20260110,Property Damage Only,-95.62285116,40.68722962
20261523797,20260111,Property Damage Only,-93.96960859,41.6144818
20261523811,20260112,Property Damage Only,-93.67904267,41.64882009
20261523815,20260107,Property Damage Only,-93.76469761,41.05398875
20261523817,20260112,Property Damage Only,-91.50066071,42.17106855
20261523822,20260112,Property Damage Only,-94.22747519,43.00925925
20261523838,20260113,Property Damage Only,-91.27215982,42.38536291
20261523841,20260112,Property Damage Only,-90.5511344,41.6110529
20261523847,20260112,Property Damage Only,-92.53945305,41.58545645
20261523851,20260112,Property Damage Only,-95.64056289,41.28953173
20261523873,20260112,Property Damage Only,-91.50926945,41.92507535
20261523874,20260112,Property Damage Only,-95.86352059,42.19884286
20261523890,20260113,Property Damage Only,-90.71354402,42.53026347
20261523898,20260107,Property Damage Only,-93.68642932,41.9939197
20261523899,20260113,Property Damage Only,-93.55260069,42.11730195
20261523902,20260113,Property Damage Only,-91.2587755,42.12798906
20261523905,20260109,Property Damage Only,-92.3376352,42.69227467
20261523910,20260112,Property Damage Only,-92.1751066,42.67792736
20261523912,20260112,Property Damage Only,-91.30600428,40.6704721
20261523914,20260108,Property Damage Only,-92.42428476,42.71495058
20261523915,20260109,Property Damage Only,-92.38415401,42.71505702
20261523916,20260113,Property Damage Only,-92.92074087,43.38310109
20261523918,20260110,Property Damage Only,-92.47567946,42.77377792
20261523920,20260112,Property Damage Only,-91.46623454,43.23998276
20261523947,20260112,Property Damage Only,-94.58838354,41.67322936
20261523953,20260113,Property Damage Only,-92.7444767,42.35742889
20261523998,20260110,Property Damage Only,-92.95182313,41.24025209
20261524008,20260113,Property Damage Only,-92.86022025,41.70799942
20261524011,20260113,Property Damage Only,-93.6782093,41.7730142
20261524013,20260113,Property Damage Only,-96.31331128,43.19990908
20261524025,20260111,Property Damage Only,-94.75806273,41.50426772
20261524035,20260113,Property Damage Only,-94.18617928,42.5176266
20261524045,20260112,Property Damage Only,-92.49265263,42.61251101
20261524048,20260113,Property Damage Only,-92.00671019,41.74264758
20261524051,20260114,Property Damage Only,-93.8987534,41.80308767
20261524056,20260110,Property Damage Only,-93.07066569,42.38451195
20261524062,20260102,Property Damage Only,-93.23167485,41.69538504
20261524063,20260102,Property Damage Only,-93.23108644,41.69551232
20261524065,20260109,Property Damage Only,-93.30936914,41.8032597
20261524081,20260113,Property Damage Only,-95.89335321,43.11653481
20261524139,20260113,Property Damage Only,-92.69656001,43.134215
20261524140,20260113,Property Damage Only,-92.72724732,43.10979896
